Launch Date,Launch Site,Payload,Orbit,Customer,Launch Outcome
[,,,,,"SpaceX signed in February 2020, its first commercial flight for a crewed spacecraft with the Virginia-based company that had flown seven space tourists between 2001 and 2009. The flight will be around 3 days, up to 5 days, on an elliptical orbit with the apogee three times that of the ISS, and up to four space tourists with a price per seat of around US$50 million.[720][721]"
[,"KSC,LC-39A",AX-1(Crew Dragon C207.3 Resilience ♺),LEO (ISS),Axiom Space,Axiom Space
[,,,,,"Announced in March 2020, the flight will be the first fully private flight to the ISS.[723] Crew Dragon will be commanded by Axiom professional astronaut Michael López-Alegría."
,"KSC,LC-39A",Crew-4,LEO (ISS),NASA (CTS)[497],NASA (CTS)[497]
[,,,,,NASA has awarded six missions with Crew Dragon to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[497] First two astronauts are NASA's Kjell Lindgren and Bob Hines.[724]
[,"CC,LC-39A or SLC-40","O3b mPOWER -4, -5, -6",MEO,SES,SES
[,,,,,"Second part of SES' MEO satellites for its proven O3b low-latency, high-performance connectivity services.[700][701]"
[,"VSFB,SLC-4E","Transporter-4, SmallSat Rideshare",SSO,Various,Various
,,,,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
[,"KSC,LC-39A",Intuitive Machines Nova-C lunar lander,TLI,NASA (CLPS),NASA (CLPS)
[,,,,,"First mission of NASA's Commercial Lunar Payload Services program, and would be the first private American company to land a spacecraft on the Moon. The lander is expected to carry five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES) and transmit data from the lunar surface in a mission lasting 2 weeks.[728][729][730] DOGE-1 will be a secondary rideshare payload massing 40 kg.[731][732]"
[,"VSFB,SLC-4E",WorldView Legion Mission 2[719],SSO,,
,,,,,Maxar Technologies built satellites.
[,"KSC,LC-39A",SpaceX CRS-25[669],LEO (ISS),NASA (CRS),NASA (CRS)
[,,,,,Fifth of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[669]
[,"KSC,LC-39A",USSF-52,GTO,USSF,USSF
[,,,,,"Classified payload contract awarded in June 2018 for US$130 million.[735] Draft solicitation said the launch was 6,350 kg (14,000 lb) to GTO.[736]"
[,"KSC,LC-39A",ViaSat-3 class [738][739],GEO,ViaSat,ViaSat
[,,,,,"This mission will inject the satellite in close proximity to geostationary orbit, thus allowing it to be operational faster. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, but would need several months to raise its orbit from GTO to GEO.[739]"
[,"VSFB,SLC-4E","Transporter-5, SmallSat Rideshare",SSO,Various,Various
,,,,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
[,"CCSFS,SLC-40",Korea Pathfinder Lunar Orbiter (KPLO)[742],TLI,KARI,KARI
[,,,,,South Korea's first lunar mission.[742]
[,"KSC,LC-39A",Psyche and possibly Janus[743],Heliocentric,NASA (Discovery),NASA (Discovery)
[,,,,,"Discovery Program mission designed to explore asteroid 16 Psyche that has a limited 6-week launch window. The asteroid is hoped to show what the early solar system looked like and how planets formed.[744] Janus, planned dual space probe to visit two binary asteroids, (35107) 1991 VH and (175706) 1996 FG3 is also expected to be launched as a secondary payload together with the Psyche space probe."
[,"KSC,LC-39A",SpaceX CRS-26[669],LEO (ISS),NASA (CRS),NASA (CRS)
[,,,,,Last of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[669]
,"CC,LC-39A or SLC-40",Galaxy 31 and Galaxy 32 (2 satellites),GTO,Intelsat,Intelsat
[,,,,,Maxar Technologies or Northrop Grumman built satellites[745]
[,TBD,USSF-67,TBD,USSF,USSF
[,,,,,"First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022 for the first flight,[746] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[747]"
,"CC,LC-39A or SLC-40",MethaneSAT,SSO,Environmental Defense FundNew Zealand Space Agency,Environmental Defense FundNew Zealand Space Agency
[,,,,,"MethaneSAT is a 350 kg (770 lb) among satellite aimed at locating, quantifying, and tracking methane emissions from oil and gas operations worldwide. The project received $100 million grant for the mission's completion and launching from the Bezos Earth Fund, established by Jeff Bezos.[748]"
[,"KSC,LC-39A",Crew-5,LEO (ISS),NASA (CTS)[497],NASA (CTS)[497]
[,,,,,"Fifth USCV launches out of NASA award of six Crew Dragon mission, to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[497]"
[,"VSFB,SLC-4E","Transporter-6, SmallSat Rideshare",SSO,Various,Various
,,,,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
[,"VSFB,SLC-4E[749]",Surface Water Ocean Topography (SWOT),LEO,NASA,NASA
[,,,,,American-European satellite intended to measure the surface altitude of water bodies with centimeter-level precision.[750]
,TBD,Masten Mission One (MM1)XL-1 lunar lander,TLI,Masten Space SystemsNASA (CLPS),Masten Space SystemsNASA (CLPS)
[,,,,,"In April 2020, NASA announced Masten as one of the CLPS contract winners to send a lander to the lunar South pole in 2022 with several payloads.[751] In August 2020, Masten announced they signed a launch contract with SpaceX.[752][753]"
[,"VSFB,SLC-4E",ASBM 1 and ASBM 2,HEO,Space Norway,Space Norway
[,,,,,"Space Norway will launch 2 satellites of the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical orbits (apogee 43,509 km (27,035 mi), perigee 8,089 km (5,026 mi), 63.4°)[755]) to provide communication coverage to high latitudes not served by geosynchronous satellites.[754]"
,"CC,LC-39A or SLC-40",Galaxy 33 and Galaxy 34 (2 satellites),GTO,Intelsat,Intelsat
[,,,,,Maxar Technologies or Northrop Grumman built satellites.[745]
[,TBD,Intuitive Machines Nova-C 2 lunar lander,TLI,NASA (CLPS)ispace,NASA (CLPS)ispace
,,,,,"Intuitive Machines is sending its second lander aboard a SpaceX Falcon 9, with a projected launch time frame happening sometime around late 2022. Intuitive Machines has already booked a first lander mission via SpaceX, which is also hosting payloads for other private companies seeking to make lunar landfall under NASA's Commercial Lunar Payload Services program."
[,"CC,SLC-40",Hakuto-R Mission 1 Moon lander andEmirates Lunar Mission (Rashid) rover (secondary payload),TLI,ispace and MBRSC,ispace and MBRSC
[,,,,,"ispace's Hakuto-R (for Reboot) is derived from the Hakuto project that was one of the defunct Google Lunar X Prize contestants. The rebooted project aims to launch a lander-rover mission carrying a Hakuto-R lander and Emirates Lunar Mission(Rashid) rover (in collaboration with MBRSC) in 2022 with a separate Japanese rover mission in 2023, both as secondary payloads on other unspecified Falcon 9 missions.[758][759]"
[,"CC,LC-39A or SLC-40",GPS III-06 (Amelia Earhart)[541][388],MEO,USSF[530],USSF[530]
[,,,,,"Space vehicle manufacturing contract awarded February 2013.[682] In September 2018, the space vehicle was integrating harnesses.[534] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX."
[,"KSC,LC-39A",Inmarsat-6B,GTO,Inmarsat,Inmarsat
[,,,,,"Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017.[762] This option may be used for launching Inmarsat-6B,[763] and, as of April 2020[update], SpaceX's launch manifest listed Inmarsat for a Falcon 9 launch.[764]"
,"CC,LC-39A or SLC-40",SES-18 and SES-19[765],GTO,SES,SES
[,,,,,"SpaceX will launch two C-band satellites for SES, with the option to launch a third satellite on a second flight.[766][767]"
[,"CC,LC-39A or SLC-40","O3b mPOWER 7, 8 and 9",MEO,SES,SES
[,,,,,"In August 2020, SES expanded the O3m contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[768][769]"
[,"CC,LC-39A or SLC-40",Nilesat-301[770],GTO,Nilesat,Nilesat
[,,,,,"Built by Thales Alenia Space, the Egyptian satellite will be stationed at 7.0° west.[770]"
,"CC,LC-39A or SLC-40",Intelsat 40eTEMPO,GTO,IntelsatNASA,IntelsatNASA
[,,,,,Maxar Technologies built satellite that will service North and Central America.[771]
[,"VSFB,SLC-4E",NROL-87,SSO[773],NRO,NRO
[,,,,,Classified payload. It was expected to be completed by December 2021.[705]
[,"CC,LC-39A or SLC-40",Aurora 4A (secondary payload)[775],GTO,Astranis,Astranis
[,,,,,"This small (300 kg (660 lb)) geostationary satellite intends to provide 7.5 Gbit/s of bandwidth to Alaska, in partnership with Pacific Dataport. Originally was aiming for launch in quarter four 2020.[776]"
[,"KSC,LC-39A",SpaceX CRS-27,LEO (ISS),NASA (CRS),NASA (CRS)
[,,,,,Three more CRS-2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[777]
[,"KSC,LC-39A",Crew-6,LEO (ISS),NASA (CTS)[497],NASA (CTS)[497]
[,,,,,"Last USCV launches out of NASA award of six Crew Dragon mission, to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[497]"
[,"CC,LC-39A or SLC-40",Hakuto-R Moon lander (secondary payload)[758][779],TLI,ispace,ispace
[,,,,,"Ispace's Hakuto-R (for Reboot) is derived from the Hakuto project that was one of the defunct Google Lunar X Prize contestants. The rebooted project aims to launch a lander-rover mission carrying a Hakuto-R lander  and Rashid rover (in collaboration with MBRSC) in 2021 with a separate Japanese rover mission in 2023, both as secondary payloads on other unspecified Falcon 9 missions.[758][759]"
[,"VSFB,SLC-4E","Transporter-7, SmallSat Rideshare",SSO,Various,Various
[,,,,,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit. The On-Orbit Servicing, Assembly and Manufacturing Mission 2 (OSAM-2), formerly known as Archinaut One, may launch on this rideshare mission in early 2023.[780][781]"
[,"KSC,LC-39A",SpaceX CRS-28,LEO (ISS),NASA (CRS),NASA (CRS)
[,,,,,Three more CRS-2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[777]
[,"VSFB,SLC-4E","Transporter-8, SmallSat Rideshare",SSO,Various,Various
,,,,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
[,"KSC,LC-39A",Blue Ghost lunar lander,TLI,Firefly AerospaceNASA (CLPS),Firefly AerospaceNASA (CLPS)
[,,,,,Firefly Aerospace chose SpaceX's Falcon 9 rocket to deliver the Blue Ghost lunar lander to the lunar surface. Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission along with other separately contracted payloads.[784]
[,"KSC,LC-39A",SpaceX CRS-29,LEO (ISS),NASA (CRS),NASA (CRS)
[,,,,,Three more CRS-2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[777]
[,"CCSFS,SLC-40",PACE,SSO,NASA (LSP),NASA (LSP)
[,,,,,"Plankton, Aerosol, Cloud, ocean Ecosystem is a 1.7 tonne, US$800 million craft that will orbit at 676 km (420 mi) altitude. It will include the Ocean Color Imager intended to study phytoplankton in the ocean, and two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[785]"
[,"KSC,LC-39A",Griffin Mission 1,TLI,AstroboticNASA (Artemis),AstroboticNASA (Artemis)
[,,,,,Astrobotic's Griffin lunar lander will deliver NASA's VIPER spacecraft to the lunar south pole.[787]
[,"VSFB,SLC-4E","Transporter-9, SmallSat Rideshare",SSO,Various,Various
,,,,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
[,"CC,LC-39A or SLC-40",SATRIA,GTO,PT Pasifik Satelit Nusantara,PT Pasifik Satelit Nusantara
,,,,,PSN chose Falcon 9 in September 2020 to launch its satellite instead of a Chinese rocket or Ariane 5.
,"CC,LC-39A or SLC-40[790]",USSF-36,TBD,USSF,USSF
[,,,,,Launch part of Phase 2 US Air Force contract awarded in 2021.[791]
,"CC,LC-39A or SLC-40[790]",NROL-69,TBD,USSF,USSF
[,,,,,Launch part of Phase 2 US Air Force contract awarded in 2021.[791]
,"CC,LC-39A or SLC-40",Intelsat satellite,GTO,Intelsat,Intelsat
[,,,,,"Intelsat contracted both SpaceX and Arianespace to launch its fifth Maxar Technologies built satellite, and award whichever doesn't launch it with a separate contract at a later date.[745]"
,"CC,LC-39A or SLC-40",Ax-2,TBD,Axiom Space,Axiom Space
[,,,,,Contract for 3 additional missions was signed in June 2021.[792] Peggy Whitson and John Shoffner were signed on as commander and pilot.[793][794] The third seat is expected to be awarded to a Discovery reality TV show winner of Who Wants To Be An Astronaut?.[795]
,"CC,LC-39A or SLC-40",Ax-3,TBD,Axiom Space,Axiom Space
[,,,,,Contract for 3 additional missions was signed in June 2021.[792]
,"CC,LC-39A or SLC-40",Ax-4,TBD,Axiom Space,Axiom Space
[,,,,,Contract for 3 additional missions was signed in June 2021.[792]
[,TBD,about 12 more launches,TBD,USSF,USSF
[,,,,,Launches part of Phase 2 US Air Force contract awarding SpaceX 40% of the about 34 launches expected to occur between 2022 and 2027.[746]
,"VSFB,SLC-4E",SPHEREx,SSO[796],NASA,NASA
[,,,,,"In February 2021, NASA announced a $99m contract for its Astrophysics Division.[797]"
[,"KSC,LC-39A",Power and Propulsion Element (PPE)Habitation and Logistics Outpost (HALO)[799],TLI,NASA (Artemis),NASA (Artemis)
[,,,,,"First elements for the Gateway station as part of the Artemis program, awarded in February 2021. The launch will cost NASA $331.8 million.[800]"
[,"CC,LC-39A or SLC-40",O3b mPOWER 10 and 11,MEO,SES,SES
[,,,,,"In August 2020, SES expanded the O3m contract with a fourth launch.[769]"
[,"KSC,LC-39A",Dragon XL,TLI,NASA (Gateway Logistics Services),NASA (Gateway Logistics Services)
[,,,,,"In March 2020, NASA announced its first contract for the Gateway Logistics Services that guarantees at least two launches on a modified Crew Dragon spacecraft that will carry over 5 tonnes of cargo to the Lunar orbit on 6–12 months long missions.[803]"
[,"KSC,LC-39A",Interstellar Mapping and Acceleration Probe (IMAP),Sun–Earth L1,NASA,NASA
[,,,,,"In September 2020, NASA selected SpaceX to launch IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads are NASA's Lunar Trailblazer mission, two NASA heliophysics missions of opportunity, and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.[805]"
[,"KSC,LC-39A",Dragon XL,TLI,NASA (Gateway Logistics Services),NASA (Gateway Logistics Services)
[,,,,,Second Dragon XL logistics module.[806]
